operation_index,time_ns,time_ms
0,1300,0.001300
1,60,0.000060
2,50,0.000050
3,1260,0.001260
4,1320,0.001320
5,4530,0.004530
6,60,0.000060
7,90,0.000090
8,40,0.000040
9,3990,0.003990
10,60,0.000060
11,40,0.000040
12,100,0.000100
13,30,0.000030
14,70,0.000070
15,50,0.000050
16,40,0.000040
17,130,0.000130
18,40,0.000040
19,30,0.000030
20,50,0.000050
21,2731,0.002731
22,30,0.000030
23,50,0.000050
24,60,0.000060
25,130,0.000130
26,70,0.000070
27,260,0.000260
28,70,0.000070
29,40,0.000040
30,40,0.000040
31,590,0.000590
32,40,0.000040
33,30,0.000030
34,110,0.000110
35,30,0.000030
36,40,0.000040
37,110,0.000110
38,30,0.000030
39,40,0.000040
40,60,0.000060
41,30,0.000030
42,40,0.000040
43,40,0.000040
44,50,0.000050
45,290,0.000290
46,40,0.000040
47,60,0.000060
48,40,0.000040
49,50,0.000050
50,30,0.000030
51,30,0.000030
52,50,0.000050
53,30,0.000030
54,40,0.000040
55,40,0.000040
56,50,0.000050
57,2030,0.002030
58,40,0.000040
59,60,0.000060
60,30,0.000030
61,50,0.000050
62,30,0.000030
63,30,0.000030
64,2510,0.002510
65,30,0.000030
66,40,0.000040
67,70,0.000070
68,50,0.000050
69,30,0.000030
70,110,0.000110
71,30,0.000030
72,30,0.000030
73,30,0.000030
74,30,0.000030
75,30,0.000030
76,40,0.000040
77,30,0.000030
78,30,0.000030
79,40,0.000040
80,20,0.000020
81,30,0.000030
82,30,0.000030
83,30,0.000030
84,40,0.000040
85,40,0.000040
86,20,0.000020
87,30,0.000030
88,30,0.000030
89,30,0.000030
90,30,0.000030
91,60,0.000060
92,30,0.000030
93,30,0.000030
94,30,0.000030
95,20,0.000020
96,30,0.000030
97,30,0.000030
98,30,0.000030
99,30,0.000030
100,1670,0.001670
101,70,0.000070
102,50,0.000050
103,860,0.000860
104,1520,0.001520
105,4820,0.004820
106,60,0.000060
107,90,0.000090
108,70,0.000070
109,3600,0.003600
110,60,0.000060
111,30,0.000030
112,30,0.000030
113,30,0.000030
114,70,0.000070
115,50,0.000050
116,30,0.000030
117,150,0.000150
118,30,0.000030
119,30,0.000030
120,50,0.000050
121,2510,0.002510
122,40,0.000040
123,50,0.000050
124,50,0.000050
125,130,0.000130
126,80,0.000080
127,240,0.000240
128,60,0.000060
129,40,0.000040
130,30,0.000030
131,740,0.000740
132,40,0.000040
133,40,0.000040
134,90,0.000090
135,40,0.000040
136,30,0.000030
137,130,0.000130
138,40,0.000040
139,40,0.000040
140,50,0.000050
141,30,0.000030
142,40,0.000040
143,60,0.000060
144,50,0.000050
145,250,0.000250
146,50,0.000050
147,60,0.000060
148,30,0.000030
149,50,0.000050
150,30,0.000030
151,30,0.000030
152,50,0.000050
153,30,0.000030
154,40,0.000040
155,40,0.000040
156,50,0.000050
157,2160,0.002160
158,50,0.000050
159,30,0.000030
160,40,0.000040
161,30,0.000030
162,40,0.000040
163,30,0.000030
164,2500,0.002500
165,40,0.000040
166,40,0.000040
167,80,0.000080
168,50,0.000050
169,30,0.000030
170,100,0.000100
171,50,0.000050
172,30,0.000030
173,30,0.000030
174,30,0.000030
175,30,0.000030
176,30,0.000030
177,20,0.000020
178,30,0.000030
179,30,0.000030
180,30,0.000030
181,30,0.000030
